,collective_focus,normalised_politeness,raw_politeness
count,11419.0,11419.0,11419.0
mean,0.145589483815208,0.0034227367859955508,0.2933706979595411
std,0.31115606511145655,0.011969230659239384,0.7116875901297143
min,0.0,0.0,0.0
25%,0.0,0.0,0.0
50%,0.0,0.0,0.0
75%,0.0,0.0,0.0
max,1.0,0.3333333333333333,15.0
